               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.042908,            0.071566,           0.0062412,             0.87865,             0.54906,             0.65232,             0.38287,             0.03908,            0.042907,           0.0042908,           0.0094496,           0.0094496,           0.0094496
                  37,            0.041589,            0.069389,           0.0059122,             0.72529,              0.6147,             0.66466,             0.37895,             0.03924,            0.042428,           0.0041281,           0.0094184,           0.0094184,           0.0094184
                  38,            0.041595,            0.070105,           0.0057864,             0.88875,             0.52435,             0.64911,             0.36095,            0.039075,            0.045157,           0.0039695,           0.0093864,           0.0093864,           0.0093864
                  39,             0.04197,            0.069947,           0.0057049,             0.77708,             0.62576,             0.66661,             0.38301,            0.039136,            0.042911,           0.0043993,           0.0093536,           0.0093536,           0.0093536
                  40,            0.040967,            0.070002,           0.0054459,             0.85378,             0.62678,             0.68394,             0.41242,            0.037277,             0.04082,           0.0037269,             0.00932,             0.00932,             0.00932
                  41,            0.041221,            0.070008,           0.0054426,             0.73432,             0.64836,              0.6742,              0.3944,            0.038785,            0.043636,           0.0034729,           0.0092856,           0.0092856,           0.0092856
                  42,            0.040376,            0.068636,           0.0052778,              0.8949,             0.59725,             0.67872,             0.40265,            0.037149,            0.040788,           0.0036439,           0.0092505,           0.0092505,           0.0092505
                  43,            0.041382,            0.067786,           0.0055015,              0.9135,              0.6303,             0.71889,             0.44425,            0.036475,            0.039378,           0.0031971,           0.0092146,           0.0092146,           0.0092146
                  44,              0.0402,            0.067849,           0.0052449,             0.89788,              0.6297,             0.71208,             0.44556,            0.035677,            0.039158,           0.0034055,            0.009178,            0.009178,            0.009178
                  45,            0.040841,            0.069014,           0.0052118,             0.91341,             0.59423,             0.69911,             0.42562,            0.037282,            0.040831,           0.0033253,           0.0091406,           0.0091406,           0.0091406
                  46,            0.040201,            0.065849,           0.0050556,             0.73509,             0.66479,             0.69428,             0.40081,            0.038182,            0.041487,            0.003323,           0.0091024,           0.0091024,           0.0091024
                  47,            0.039981,            0.065762,           0.0050714,             0.84972,             0.64179,             0.71088,             0.43234,            0.036402,            0.040121,           0.0029988,           0.0090636,           0.0090636,           0.0090636
                  48,            0.039146,            0.065716,           0.0046716,              0.8785,              0.6519,             0.72131,             0.45847,            0.035156,            0.038531,           0.0029848,            0.009024,            0.009024,            0.009024
                  49,            0.039575,            0.066863,           0.0049429,             0.75816,             0.72794,             0.75014,             0.46646,              0.0348,            0.037182,            0.002817,           0.0089836,           0.0089836,           0.0089836
                  50,            0.039121,            0.067288,           0.0046567,             0.88158,             0.64078,             0.73216,             0.45549,            0.035691,            0.039024,           0.0030012,           0.0089426,           0.0089426,           0.0089426
                  51,             0.03886,            0.066668,           0.0048732,             0.74069,             0.70842,             0.73111,             0.44596,            0.036815,            0.041013,           0.0030065,           0.0089009,           0.0089009,           0.0089009
