               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.038682,            0.036959,           0.0030427,             0.85661,              0.8355,             0.89187,              0.5438,            0.032022,            0.018554,          0.00094364,           0.0096648,           0.0096648,           0.0096648
                  36,            0.038545,             0.03664,           0.0029526,             0.85878,             0.83324,             0.89028,              0.5458,            0.031712,            0.018378,          0.00094783,           0.0096451,           0.0096451,           0.0096451
                  37,             0.03813,            0.036348,            0.002895,             0.85071,             0.84509,             0.89286,             0.54923,             0.03091,            0.018291,          0.00095891,           0.0096248,           0.0096248,           0.0096248
                  38,            0.037992,            0.036683,           0.0029458,             0.89104,             0.82483,              0.8981,             0.55463,            0.031033,            0.017996,          0.00089507,            0.009604,            0.009604,            0.009604
                  39,            0.037818,            0.035541,           0.0029157,             0.86651,             0.85133,             0.90213,             0.56615,            0.030692,            0.018063,          0.00091095,           0.0095826,           0.0095826,           0.0095826
                  40,            0.037716,            0.035756,           0.0029863,             0.87682,             0.85502,             0.90552,                0.57,            0.030521,            0.017696,          0.00094853,           0.0095607,           0.0095607,           0.0095607
                  41,            0.037517,             0.03541,           0.0029119,             0.87787,             0.83907,             0.90349,              0.5671,            0.031272,            0.017993,          0.00086635,           0.0095383,           0.0095383,           0.0095383
                  42,            0.037149,            0.035575,           0.0027369,             0.88074,             0.84855,             0.90579,             0.56293,            0.030627,            0.017907,          0.00084396,           0.0095153,           0.0095153,           0.0095153
                  43,            0.037152,            0.034711,           0.0027593,             0.86966,             0.86676,             0.90905,             0.57766,            0.029978,            0.017623,          0.00088532,           0.0094919,           0.0094919,           0.0094919
                  44,            0.036988,            0.034944,           0.0026704,             0.88001,             0.84999,             0.90979,             0.57733,            0.030068,            0.017549,          0.00083261,           0.0094679,           0.0094679,           0.0094679
                  45,            0.036484,            0.035088,           0.0027191,             0.87753,             0.87439,             0.92017,             0.59089,            0.029266,            0.017299,          0.00084065,           0.0094434,           0.0094434,           0.0094434
                  46,            0.036813,            0.035076,           0.0027994,             0.84657,             0.87653,             0.90904,               0.568,            0.030826,            0.017902,          0.00083057,           0.0094184,           0.0094184,           0.0094184
                  47,            0.036673,            0.034931,           0.0026354,             0.88723,             0.86702,             0.92011,             0.59586,            0.029147,            0.016987,          0.00081235,           0.0093928,           0.0093928,           0.0093928
                  48,            0.036601,            0.034839,           0.0026682,             0.88553,             0.86788,             0.91762,             0.59542,            0.029047,            0.016945,          0.00086736,           0.0093668,           0.0093668,           0.0093668
                  49,            0.036516,            0.034387,           0.0026897,             0.89223,             0.86711,             0.92194,             0.59109,            0.029333,            0.017184,          0.00080264,           0.0093402,           0.0093402,           0.0093402
                  50,            0.036188,            0.034588,           0.0026674,             0.88661,             0.87051,             0.91956,              0.5847,            0.029305,            0.016954,          0.00075473,           0.0093132,           0.0093132,           0.0093132
                  51,            0.036396,            0.034671,           0.0027102,             0.89115,             0.87097,             0.92278,             0.59609,             0.02894,            0.016722,          0.00076069,           0.0092856,           0.0092856,           0.0092856
                  52,            0.036044,            0.034231,           0.0025926,             0.88796,             0.87455,             0.92363,             0.60939,            0.028233,            0.016487,          0.00075457,           0.0092576,           0.0092576,           0.0092576
                  53,              0.0357,            0.033751,           0.0024973,             0.89193,             0.88175,             0.92575,             0.61412,            0.028105,            0.016462,          0.00076641,           0.0092291,           0.0092291,           0.0092291
                  54,            0.035505,            0.033428,            0.002403,             0.88704,             0.88269,               0.929,             0.61543,            0.028616,            0.016195,          0.00074912,           0.0092001,           0.0092001,           0.0092001
                  55,            0.035424,            0.034041,           0.0024231,             0.89916,             0.88216,             0.93007,              0.6217,            0.027886,             0.01628,          0.00076024,           0.0091706,           0.0091706,           0.0091706
                  56,            0.035661,            0.033755,           0.0025582,             0.88823,             0.90169,             0.93301,             0.61391,             0.02826,            0.016196,          0.00072573,           0.0091406,           0.0091406,           0.0091406
                  57,            0.035165,            0.033633,           0.0023726,             0.90096,              0.8848,             0.93189,             0.62149,            0.027781,            0.016093,          0.00069081,           0.0091101,           0.0091101,           0.0091101
                  58,            0.035587,            0.033436,           0.0023828,             0.90002,             0.89032,             0.93596,             0.62986,            0.027551,            0.016189,          0.00071755,           0.0090792,           0.0090792,           0.0090792
                  59,            0.035193,             0.03362,           0.0023805,             0.90318,              0.8929,             0.93878,              0.6373,            0.027086,            0.015997,          0.00070702,           0.0090478,           0.0090478,           0.0090478
                  60,            0.035043,            0.033539,           0.0023457,             0.90675,             0.87029,             0.92984,             0.62114,            0.027534,            0.016007,          0.00068451,            0.009016,            0.009016,            0.009016
                  61,            0.035326,            0.033674,            0.002424,             0.91001,             0.88571,             0.93867,             0.63396,            0.027286,            0.015802,          0.00069269,           0.0089836,           0.0089836,           0.0089836
                  62,            0.034995,            0.033961,            0.002364,             0.89573,             0.88879,             0.93577,             0.63529,            0.027065,            0.015732,          0.00066394,           0.0089509,           0.0089509,           0.0089509
                  63,             0.03467,            0.032759,           0.0022522,             0.90633,             0.89101,              0.9397,             0.64763,            0.026992,            0.015502,          0.00068602,           0.0089177,           0.0089177,           0.0089177
                  64,            0.034465,            0.033528,           0.0023229,              0.9022,              0.8975,             0.93936,             0.64488,            0.026568,            0.015436,          0.00070993,            0.008884,            0.008884,            0.008884
                  65,            0.034729,            0.033127,           0.0022829,             0.90381,             0.89477,             0.93784,             0.64648,            0.026463,             0.01547,          0.00068125,           0.0088499,           0.0088499,           0.0088499
                  66,            0.034434,            0.032837,           0.0023832,             0.90872,             0.89713,             0.94066,             0.65164,            0.025993,            0.015259,          0.00073444,           0.0088153,           0.0088153,           0.0088153
                  67,            0.034417,            0.032622,           0.0023708,             0.90351,             0.89755,              0.9434,             0.64332,            0.026739,            0.015394,          0.00067286,           0.0087804,           0.0087804,           0.0087804
                  68,            0.034439,             0.03333,           0.0023823,             0.90441,             0.90223,             0.94161,             0.65581,            0.026039,            0.015295,          0.00070461,            0.008745,            0.008745,            0.008745
                  69,            0.034439,            0.033253,           0.0024406,             0.91277,             0.89037,             0.93921,             0.64779,             0.02633,            0.015333,          0.00068476,           0.0087091,           0.0087091,           0.0087091
                  70,            0.034227,            0.032605,           0.0022979,             0.90847,             0.90908,             0.94585,              0.6561,            0.026133,             0.01513,          0.00065621,           0.0086729,           0.0086729,           0.0086729
                  71,            0.034233,              0.0322,           0.0022144,             0.90394,             0.91253,             0.94742,             0.66574,            0.025818,            0.015083,          0.00066345,           0.0086362,           0.0086362,           0.0086362
                  72,            0.033871,            0.032272,           0.0022359,             0.91392,             0.90036,             0.94721,             0.66173,            0.026056,            0.015081,          0.00062109,           0.0085991,           0.0085991,           0.0085991
                  73,            0.033959,            0.032559,           0.0020474,             0.90814,             0.90424,             0.94639,             0.66853,            0.025236,            0.014787,          0.00065397,           0.0085617,           0.0085617,           0.0085617
                  74,            0.033533,            0.032034,           0.0021597,             0.92448,             0.89575,             0.94756,             0.66387,            0.025414,            0.014747,          0.00064003,           0.0085238,           0.0085238,           0.0085238
                  75,            0.033757,            0.032583,           0.0022547,             0.90767,             0.91425,             0.94763,             0.67199,            0.025046,            0.014762,          0.00064498,           0.0084855,           0.0084855,           0.0084855
                  76,            0.033589,            0.032582,           0.0022479,              0.9164,             0.90776,             0.94815,             0.66985,            0.025348,            0.014716,          0.00059303,           0.0084469,           0.0084469,           0.0084469
                  77,              0.0336,            0.032249,           0.0021328,             0.92424,             0.89437,             0.94691,             0.66735,            0.025091,            0.014735,          0.00058975,           0.0084078,           0.0084078,           0.0084078
                  78,             0.03363,            0.031984,           0.0021989,             0.92021,             0.90822,             0.94953,             0.67659,            0.024626,            0.014472,          0.00059787,           0.0083684,           0.0083684,           0.0083684
                  79,            0.033542,            0.031695,           0.0021674,             0.91516,             0.91776,             0.95016,             0.68025,            0.024724,            0.014452,          0.00060108,           0.0083286,           0.0083286,           0.0083286
                  80,            0.033247,            0.032119,           0.0021482,             0.92449,             0.90513,             0.94934,             0.67787,            0.024746,            0.014516,          0.00059493,           0.0082884,           0.0082884,           0.0082884
                  81,            0.033604,            0.032451,           0.0021004,             0.91142,             0.91393,             0.94946,             0.67105,            0.025088,            0.014649,          0.00058934,           0.0082479,           0.0082479,           0.0082479
                  82,            0.033075,            0.031532,           0.0021129,             0.92195,             0.91021,             0.95072,             0.67703,            0.024538,            0.014425,          0.00060989,            0.008207,            0.008207,            0.008207
                  83,            0.032902,            0.031697,           0.0021383,             0.92117,             0.91545,             0.95323,             0.68624,            0.024248,            0.014248,          0.00061173,           0.0081658,           0.0081658,           0.0081658
                  84,            0.032923,            0.031617,           0.0020052,             0.92803,             0.91015,             0.95221,             0.68667,            0.024215,            0.014134,          0.00058345,           0.0081242,           0.0081242,           0.0081242
                  85,            0.032897,            0.031862,           0.0020354,             0.91465,             0.92037,             0.95495,             0.68606,            0.024166,            0.014176,          0.00057869,           0.0080823,           0.0080823,           0.0080823
                  86,            0.032597,            0.031566,           0.0020423,             0.93022,             0.91148,             0.95407,             0.69034,            0.023817,            0.014113,           0.0005816,             0.00804,             0.00804,             0.00804
                  87,            0.032805,            0.031688,           0.0020453,             0.92691,             0.92188,             0.95481,             0.69666,            0.023704,            0.013954,           0.0005642,           0.0079974,           0.0079974,           0.0079974
                  88,            0.032582,             0.03146,           0.0018986,             0.93488,             0.90492,             0.95348,             0.69262,            0.023741,            0.013948,           0.0005772,           0.0079545,           0.0079545,           0.0079545
                  89,            0.032432,            0.031174,           0.0020064,             0.92926,             0.91253,             0.95589,             0.69808,            0.023603,             0.01391,           0.0005697,           0.0079112,           0.0079112,           0.0079112
                  90,            0.032373,            0.031174,           0.0019708,             0.92527,             0.91371,             0.95386,             0.70164,            0.023451,            0.013849,          0.00055529,           0.0078677,           0.0078677,           0.0078677
                  91,            0.032249,            0.031322,           0.0019279,             0.92683,             0.91072,             0.95317,             0.69653,            0.023528,            0.013894,           0.0005642,           0.0078238,           0.0078238,           0.0078238
                  92,            0.032188,            0.031184,           0.0019135,             0.92694,             0.91458,             0.95465,             0.69821,            0.023617,            0.013843,          0.00056284,           0.0077796,           0.0077796,           0.0077796
                  93,            0.032148,             0.03125,           0.0019446,             0.91604,             0.92624,             0.95682,             0.69924,            0.023638,            0.013821,           0.0005747,           0.0077351,           0.0077351,           0.0077351
                  94,            0.032143,            0.031041,            0.001835,             0.91965,              0.9287,             0.95698,             0.70042,            0.023387,            0.013766,          0.00055803,           0.0076904,           0.0076904,           0.0076904
                  95,            0.031977,            0.030482,           0.0019157,             0.93086,             0.91638,             0.95855,             0.70487,            0.023166,             0.01363,          0.00055095,           0.0076453,           0.0076453,           0.0076453
                  96,            0.032187,             0.03109,           0.0017565,             0.92259,             0.92444,             0.95905,             0.70611,            0.023088,            0.013612,          0.00054028,              0.0076,              0.0076,              0.0076
                  97,            0.031925,            0.031018,            0.001989,             0.92491,             0.92617,              0.9596,                0.71,            0.022818,            0.013515,          0.00053826,           0.0075544,           0.0075544,           0.0075544
                  98,            0.032034,            0.030897,           0.0019627,             0.92931,             0.92627,             0.95987,             0.71374,            0.022692,            0.013421,          0.00054928,           0.0075085,           0.0075085,           0.0075085
                  99,            0.031725,            0.030934,           0.0018566,             0.93027,             0.92301,             0.96053,             0.71402,            0.022761,            0.013394,          0.00053593,           0.0074624,           0.0074624,           0.0074624
                 100,            0.031674,            0.030482,            0.001924,             0.93416,             0.91933,             0.96113,             0.71529,            0.022636,            0.013359,          0.00053115,            0.007416,            0.007416,            0.007416
                 101,             0.03163,            0.030217,           0.0018722,             0.93881,             0.91598,             0.96133,             0.71577,            0.022488,            0.013348,          0.00053153,           0.0073694,           0.0073694,           0.0073694
                 102,             0.03144,            0.030434,           0.0018798,             0.93725,             0.91733,             0.96165,             0.71957,            0.022423,            0.013343,          0.00053883,           0.0073225,           0.0073225,           0.0073225
                 103,            0.031627,            0.030565,           0.0019597,             0.92968,             0.92722,              0.9627,             0.72016,            0.022284,             0.01327,          0.00054098,           0.0072754,           0.0072754,           0.0072754
                 104,            0.031507,            0.030353,           0.0017396,             0.93536,             0.92132,             0.96224,             0.71867,            0.022423,            0.013235,          0.00053099,            0.007228,            0.007228,            0.007228
                 105,            0.031253,            0.030393,            0.001796,             0.93123,             0.92585,             0.96318,             0.72302,            0.022277,            0.013122,          0.00052389,           0.0071804,           0.0071804,           0.0071804
                 106,            0.031145,            0.030198,           0.0017467,             0.92565,             0.93341,             0.96286,             0.72482,            0.022131,            0.013077,          0.00051062,           0.0071326,           0.0071326,           0.0071326
                 107,            0.031341,            0.030154,           0.0018748,              0.9246,             0.93208,             0.96244,             0.72565,            0.022143,            0.013081,          0.00051662,           0.0070846,           0.0070846,           0.0070846
                 108,            0.031358,            0.030044,           0.0018818,             0.92712,             0.93255,             0.96344,             0.72709,            0.022078,            0.013053,          0.00051244,           0.0070364,           0.0070364,           0.0070364
                 109,            0.031128,            0.029978,           0.0018278,              0.9279,             0.93273,             0.96365,             0.72638,            0.022065,            0.013033,          0.00051039,            0.006988,            0.006988,            0.006988
