               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075289,            0.055563,            0.038897,             0.48876,             0.49363,             0.37628,             0.15543,            0.055572,            0.027026,             0.01471,           0.0033266,           0.0033266,             0.07006
                   1,            0.057528,            0.045849,            0.013675,             0.61501,             0.52593,             0.49909,             0.22006,            0.048295,             0.02597,           0.0083195,            0.006638,            0.006638,            0.040038
                   2,            0.053913,            0.046407,            0.011522,             0.63831,             0.51246,             0.50974,             0.23721,             0.04576,             0.02862,           0.0076773,           0.0099274,           0.0099274,           0.0099943
                   3,            0.051698,            0.048201,             0.01149,             0.69576,             0.52959,              0.5563,             0.27214,            0.043252,            0.027577,           0.0064213,            0.009901,            0.009901,            0.009901
                   4,            0.049264,            0.048057,            0.009629,             0.73593,             0.58955,             0.64373,             0.32757,            0.041196,            0.025888,           0.0049208,            0.009901,            0.009901,            0.009901
                   5,            0.046713,            0.045939,           0.0078638,             0.67984,             0.70082,             0.70717,             0.37637,            0.038617,            0.024289,           0.0034447,            0.009868,            0.009868,            0.009868
                   6,             0.04499,            0.043502,           0.0066654,              0.7222,             0.70363,             0.73125,             0.38174,            0.037917,            0.023545,           0.0030777,            0.009835,            0.009835,            0.009835
                   7,            0.042946,            0.042344,           0.0057318,             0.75138,             0.71086,             0.75608,             0.40228,            0.036945,            0.022924,           0.0026239,            0.009802,            0.009802,            0.009802
                   8,            0.041652,            0.040727,           0.0050568,              0.7809,             0.74828,             0.79467,             0.41607,            0.036545,            0.022349,           0.0023353,            0.009769,            0.009769,            0.009769
                   9,            0.040813,            0.040741,           0.0045773,             0.79856,             0.78834,             0.83029,              0.4734,            0.033379,            0.021213,           0.0020541,            0.009736,            0.009736,            0.009736
                  10,            0.041083,            0.041058,           0.0052604,              0.7962,             0.75922,             0.81739,              0.4607,            0.034266,            0.021664,            0.002096,            0.009703,            0.009703,            0.009703
                  11,            0.040768,            0.041085,           0.0049124,             0.78141,             0.82247,             0.84758,             0.48808,            0.032769,            0.021033,           0.0017519,             0.00967,             0.00967,             0.00967
                  12,            0.039498,            0.039321,           0.0044201,             0.80186,             0.79868,             0.84223,             0.48662,            0.032828,            0.020619,           0.0018691,            0.009637,            0.009637,            0.009637
                  13,             0.03922,            0.039341,           0.0043987,             0.83579,             0.81413,             0.86387,             0.50455,            0.031397,            0.019654,           0.0015775,            0.009604,            0.009604,            0.009604
                  14,             0.03844,            0.039157,           0.0041344,              0.8251,             0.83762,             0.87896,               0.533,            0.030778,            0.019307,           0.0016935,            0.009571,            0.009571,            0.009571
                  15,            0.037953,            0.038184,           0.0040302,             0.86521,             0.84437,             0.89588,             0.54149,            0.030581,            0.018972,           0.0013933,            0.009538,            0.009538,            0.009538
                  16,              0.0374,            0.037255,           0.0037599,              0.8602,             0.83971,             0.89342,             0.54845,            0.029695,             0.01891,           0.0013952,            0.009505,            0.009505,            0.009505
                  17,             0.03725,            0.037259,            0.003742,             0.85091,             0.85331,             0.89709,             0.55192,             0.02963,            0.018456,           0.0013606,            0.009472,            0.009472,            0.009472
                  18,              0.0369,            0.036506,           0.0036274,             0.83897,             0.86638,             0.90644,             0.56167,            0.029292,            0.018183,           0.0012737,            0.009439,            0.009439,            0.009439
                  19,            0.036575,            0.036217,           0.0036832,             0.88948,             0.85224,             0.90809,             0.57857,             0.02848,            0.017978,           0.0011434,            0.009406,            0.009406,            0.009406
                  20,            0.035466,            0.036221,           0.0032358,             0.86946,             0.86761,             0.91385,             0.57442,            0.027925,            0.017371,           0.0010957,            0.009373,            0.009373,            0.009373
                  21,            0.034481,            0.034404,           0.0029141,             0.88226,             0.88346,              0.9258,             0.59619,            0.028257,            0.017267,           0.0010747,             0.00934,             0.00934,             0.00934
                  22,            0.034084,            0.033822,           0.0027446,             0.87302,             0.88881,             0.92168,             0.60202,             0.02701,            0.016799,           0.0011182,            0.009307,            0.009307,            0.009307
                  23,            0.033292,              0.0332,           0.0026102,             0.89931,             0.88569,             0.93121,             0.61184,            0.027021,             0.01636,           0.0011162,            0.009274,            0.009274,            0.009274
                  24,            0.033044,            0.033282,           0.0024352,             0.89268,             0.88853,             0.93095,             0.62439,            0.025994,            0.016199,          0.00096382,            0.009241,            0.009241,            0.009241
                  25,            0.033045,            0.032952,           0.0025773,              0.9007,              0.9085,             0.94239,              0.6365,            0.025478,            0.015965,           0.0010392,            0.009208,            0.009208,            0.009208
                  26,            0.032762,            0.033161,           0.0025749,             0.91456,             0.89611,             0.94054,             0.62406,            0.025547,            0.015907,          0.00093029,            0.009175,            0.009175,            0.009175
                  27,            0.032301,            0.032197,           0.0023711,              0.8952,             0.91187,             0.94405,             0.65218,            0.024962,            0.015601,          0.00094709,            0.009142,            0.009142,            0.009142
