               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079894,            0.060339,            0.041056,             0.56965,             0.31772,             0.22786,            0.074393,            0.060261,             0.03118,            0.018066,           0.0033279,           0.0033279,            0.070049
                   1,             0.06387,            0.048696,            0.016492,             0.64992,             0.36226,             0.35764,             0.15101,             0.05461,            0.027454,           0.0089099,            0.006661,            0.006661,            0.040048
                   2,             0.05975,            0.048884,            0.012282,              0.6418,             0.39314,             0.38843,             0.16611,            0.053645,            0.029828,           0.0080772,           0.0099928,           0.0099928,            0.010047
                   3,            0.056089,            0.051052,            0.011395,             0.76423,             0.47025,             0.49663,             0.23431,            0.046953,            0.028293,           0.0060013,           0.0099959,           0.0099959,           0.0099959
                   4,            0.052659,            0.050738,           0.0098786,             0.74151,             0.49081,             0.51152,             0.25681,            0.044361,            0.028756,           0.0053101,           0.0099959,           0.0099959,           0.0099959
                   5,            0.050388,            0.049965,           0.0090791,              0.7933,             0.48813,             0.54147,              0.2726,            0.041587,            0.027757,           0.0046423,           0.0099927,           0.0099927,           0.0099927
                   6,            0.048499,            0.048393,           0.0075192,             0.73445,              0.5413,             0.56182,             0.28393,            0.040536,             0.02638,           0.0037057,           0.0099885,           0.0099885,           0.0099885
                   7,            0.046703,            0.047892,           0.0066378,             0.82409,              0.5591,              0.6236,              0.3267,            0.038294,            0.025709,           0.0033212,           0.0099835,           0.0099835,           0.0099835
                   8,            0.045558,             0.04457,           0.0065807,             0.83032,             0.58639,             0.67519,             0.35128,            0.038166,            0.024658,           0.0033897,           0.0099775,           0.0099775,           0.0099775
                   9,            0.045335,            0.045651,            0.006493,             0.82996,             0.57166,             0.66138,             0.35421,            0.037464,            0.024847,           0.0031623,           0.0099707,           0.0099707,           0.0099707
                  10,            0.045027,            0.045266,           0.0061624,             0.83352,             0.59146,             0.71496,             0.38111,            0.036797,            0.023993,           0.0027364,           0.0099629,           0.0099629,           0.0099629
